01_020_05.json: 1 syntactically invalid, 0 semantically invalid, 0 valid, 15 optimal
02_020_07.json: 0 syntactically invalid, 0 semantically invalid, 2 valid, 14 optimal
02_020_10.json: 0 syntactically invalid, 6 semantically invalid, 2 valid, 8 optimal
03_020_05.json: 0 syntactically invalid, 1 semantically invalid, 0 valid, 15 optimal
03_020_10.json: 0 syntactically invalid, 0 semantically invalid, 0 valid, 16 optimal
04_020_08.json: 3 syntactically invalid, 1 semantically invalid, 2 valid, 10 optimal
05_020_08.json: 0 syntactically invalid, 0 semantically invalid, 0 valid, 16 optimal
06_020_06.json: 0 syntactically invalid, 1 semantically invalid, 2 valid, 13 optimal
06_020_10.json: 1 syntactically invalid, 1 semantically invalid, 1 valid, 13 optimal
07_020_05.json: 0 syntactically invalid, 1 semantically invalid, 0 valid, 15 optimal
07_020_08.json: 0 syntactically invalid, 0 semantically invalid, 0 valid, 16 optimal
07_020_10.json: 0 syntactically invalid, 1 semantically invalid, 0 valid, 15 optimal
08_020_04.json: 0 syntactically invalid, 1 semantically invalid, 2 valid, 13 optimal
08_020_08.json: 2 syntactically invalid, 2 semantically invalid, 2 valid, 10 optimal
09_020_02.json: 0 syntactically invalid, 0 semantically invalid, 2 valid, 14 optimal
09_020_05.json: 1 syntactically invalid, 1 semantically invalid, 14 valid, 0 optimal
09_020_07.json: 1 syntactically invalid, 0 semantically invalid, 2 valid, 13 optimal
10_020_02.json: 0 syntactically invalid, 0 semantically invalid, 0 valid, 16 optimal
10_020_04.json: 0 syntactically invalid, 1 semantically invalid, 0 valid, 15 optimal
10_020_09.json: 0 syntactically invalid, 0 semantically invalid, 0 valid, 16 optimal
